Correct: 82266
Total: 82578
99.6221753978057%
F1: 0.9962217539780571
word		gold	hyp
impeachment		B-ENG	O
solveig		O	B-ENG
hail		O	B-ENG
hail		O	B-ENG
hail		O	B-ENG
cupaires		B-OTHER	O
tears		O	B-ENG
millennial		B-ENG	O
chikin		B-OTHER	B-ENG
dak		B-OTHER	B-ENG
gangjeong		I-OTHER	I-ENG
impeachment		B-ENG	O
and		O	I-ENG
lifejackets		O	B-ENG
remake		B-ENG	O
blueberry		O	B-ENG
skunk		O	I-ENG
goxua		B-OTHER	O
-		I-ENG	O
right		I-ENG	O
-		I-ENG	O
music		B-ENG	O
hall		I-ENG	O
queen		I-ENG	O
call		O	B-ENG
the		O	I-ENG
frikies		O	B-ENG
real		B-ENG	O
estate		I-ENG	O
investment		I-ENG	O
trusts		I-ENG	B-ENG
déjà		B-OTHER	O
vu		I-OTHER	O
ghosts		O	B-ENG
snowboard		B-ENG	O
angry		B-ENG	O
white		I-ENG	O
men		I-ENG	O
made		B-ENG	O
usa		I-ENG	O
free		B-ENG	O
-		I-ENG	O
rider		I-ENG	O
mindfulness		B-ENG	O
boomerwaffen		B-ENG	O
baby		B-ENG	O
boomers		I-ENG	O
waffen		O	B-ENG
aupair		B-OTHER	O
banner		B-ENG	O
tax		B-ENG	O
credit		I-ENG	O
rent		B-ENG	O
control		I-ENG	O
like		O	B-ENG
router		B-ENG	O
profits		I-ENG	O
riff		B-ENG	O
yonki		O	B-ENG
-		I-ENG	O
cool		B-ENG	O
streamer		B-ENG	O
streaming		O	B-ENG
-		I-ENG	O
up		I-ENG	O
comedy		I-ENG	O
black		O	B-ENG
grosse		B-OTHER	O
koalition		I-OTHER	I-ENG
giallo		B-OTHER	O
-		I-OTHER	O
rossa		I-OTHER	O
-		I-ENG	O
rock		O	B-ENG
gudari		B-OTHER	B-ENG
showbiz		B-ENG	O
biscuters		O	B-ENG
slammer		B-ENG	O
point		B-ENG	O
of		I-ENG	O
care		I-ENG	O
master		B-ENG	O
part		O	B-ENG
castells		B-OTHER	B-ENG
castells		B-OTHER	B-ENG
chateau		B-OTHER	O
garçon		B-OTHER	O
cocotte		B-OTHER	O
wannabe		B-ENG	O
topic		I-ENG	O
fürerprinzip		B-OTHER	B-ENG
pages		I-ENG	O
light		O	B-ENG
emitting		O	I-ENG
pixel		B-ENG	O
shifting		I-ENG	B-ENG
rock		O	B-ENG
zag		O	I-ENG
marqueting		O	B-ENG
matcha		B-OTHER	O
hanami		B-OTHER	O
sakura		B-OTHER	O
mockingbird		O	B-ENG
night		O	I-ENG
film		B-OTHER	B-ENG
noir		I-OTHER	O
doppelgänger		B-OTHER	O
freikorps		O	B-ENG
tests		O	B-ENG
darkstores		B-ENG	O
bet		O	B-ENG
cloud		O	B-ENG
shofar		B-OTHER	O
boomers		I-ENG	B-ENG
market		B-ENG	O
places		I-ENG	O
topics		I-ENG	O
trols		O	B-ENG
risk		O	B-ENG
during		O	B-ENG
during		O	B-ENG
snack		O	B-ENG
lack		O	B-ENG
eating		O	B-ENG
taking		O	B-ENG
cursus		O	B-ENG
honorum		O	I-ENG
vips		O	B-ENG
trap		B-ENG	O
reiki		B-OTHER	O
creativity		O	I-ENG
slogan		B-ENG	O
dark		B-ENG	O
kitchen		I-ENG	O
hub		B-ENG	O
food		I-ENG	O
pokes		B-OTHER	B-ENG
galets		B-OTHER	B-ENG
carn		B-OTHER	O
d'olla		I-OTHER	O
maps		O	B-ENG
street		O	B-ENG
los		O	B-ENG
route		B-ENG	O
map		I-ENG	O
digital		B-ENG	O
länsstyrelsen		O	B-ENG
livsmedelsverket		O	B-ENG
waterproof		B-ENG	O
bacalhau		B-OTHER	O
mainstream		B-ENG	O
manager		B-ENG	O
rock		O	B-ENG
remix		B-ENG	O
caucus		B-ENG	O
defund		O	B-ENG
defund		O	B-ENG
ultra		B-ENG	O
local		I-ENG	O
dimming		I-ENG	O
tv		I-ENG	O
of		O	I-ENG
spas		B-ENG	O
trusts		O	B-ENG
macguffin		B-ENG	O
rancis		B-OTHER	B-ENG
spillover		B-ENG	O
pyogenes		O	I-ENG
autonomous		B-ENG	O
sensory		I-ENG	O
meridian		I-ENG	O
response		I-ENG	O
game		B-ENG	O
over		I-ENG	O
chalk		B-ENG	O
staff		B-ENG	O
paparazzi		B-OTHER	B-ENG
webcam		B-ENG	O
cócktail		O	B-ENG
it		O	I-ENG
funk		B-ENG	O
sexy		B-ENG	O
size		I-ENG	O
mourinhistas		O	B-ENG
newsletter		B-ENG	O
-		I-ENG	O
shore		I-ENG	O
of		O	I-ENG
spanish		I-ENG	B-ENG
approval		B-ENG	O
hash		B-ENG	O
fine		O	I-ENG
video		B-ENG	O
subprime		B-ENG	O
meme		B-ENG	O
stocks		I-ENG	B-ENG
centennial		B-ENG	O
noise		B-ENG	O
mangaka		B-OTHER	O
age		I-ENG	O
capots		B-OTHER	B-ENG
car		I-ENG	O
reiki		B-OTHER	O
reiki		B-OTHER	O
millennial		B-ENG	O
funds		I-ENG	O
broker		B-ENG	O
think		O	B-ENG
of		O	I-ENG
carpenters		O	B-ENG
skinhead		B-ENG	O
yankee		B-ENG	O
black		O	B-ENG
route		B-ENG	O
to		I-ENG	O
market		I-ENG	O
ratatouille		B-OTHER	O
tumbet		B-OTHER	B-ENG
spoilers		B-ENG	O
handicap		B-ENG	O
newsletter		B-ENG	O
newsletter		B-ENG	O
wannabes		B-ENG	O
close		B-ENG	O
close		B-ENG	O
onsen		B-OTHER	O
whiskies		O	B-ENG
kruger		O	B-ENG
youtubers		B-ENG	O
beat		O	B-ENG
plaquette		B-OTHER	O
