Correct: 82254
Total: 82578
99.6076436823367%
F1: 0.996076436823367
word		gold	hyp
vu		I-OTHER	O
pickup		B-ENG	O
snowboard		B-ENG	O
angry		B-ENG	O
white		I-ENG	O
men		I-ENG	O
made		B-ENG	O
free		B-ENG	O
-		I-ENG	O
rider		I-ENG	O
mindfulness		B-ENG	O
offshore		B-ENG	O
boomerwaffen		B-ENG	O
baby		B-ENG	O
boomers		I-ENG	O
waffen		O	B-ENG
fashion		I-ENG	O
aupair		B-OTHER	O
banner		B-ENG	O
tax		B-ENG	O
credit		I-ENG	O
rent		B-ENG	O
control		I-ENG	O
like		O	B-ENG
by		I-ENG	O
router		B-ENG	O
riff		B-ENG	O
-		I-ENG	O
cool		B-ENG	O
streamer		B-ENG	O
streaming		O	B-ENG
-		I-ENG	O
up		I-ENG	O
comedy		I-ENG	O
sketches		B-ENG	O
black		O	B-ENG
grosse		B-OTHER	O
koalition		I-OTHER	I-ENG
hashtags		B-ENG	O
giallo		B-OTHER	O
-		I-OTHER	O
rossa		I-OTHER	O
-		I-ENG	O
rock		O	B-ENG
gudari		B-OTHER	B-ENG
showbiz		B-ENG	O
biscuters		O	B-ENG
slammer		B-ENG	O
point		B-ENG	O
of		I-ENG	O
care		I-ENG	O
master		B-ENG	O
part		O	B-ENG
castells		B-OTHER	B-ENG
castells		B-OTHER	B-ENG
chateau		B-OTHER	O
garçon		B-OTHER	O
cocotte		B-OTHER	O
wannabe		B-ENG	O
hashtag		B-ENG	O
topic		I-ENG	O
fürerprinzip		B-OTHER	B-ENG
pages		I-ENG	O
light		O	B-ENG
emitting		O	I-ENG
nit		O	B-ENG
pixel		B-ENG	O
rock		O	B-ENG
offshore		B-ENG	O
zag		O	I-ENG
marqueting		O	B-ENG
care		O	B-ENG
matcha		B-OTHER	O
hanami		B-OTHER	O
sakura		B-OTHER	O
mockingbird		O	B-ENG
night		O	I-ENG
film		B-OTHER	B-ENG
noir		I-OTHER	O
doppelgänger		B-OTHER	O
freikorps		O	B-ENG
tests		O	B-ENG
darkstores		B-ENG	O
bet		O	B-ENG
cloud		O	B-ENG
shofar		B-OTHER	O
boomers		I-ENG	B-ENG
market		B-ENG	O
places		I-ENG	O
topics		I-ENG	O
trols		O	B-ENG
during		O	B-ENG
during		O	B-ENG
self		O	B-ENG
snack		O	B-ENG
lack		O	B-ENG
eating		O	B-ENG
taking		O	B-ENG
cursus		O	B-ENG
vips		O	B-ENG
trap		B-ENG	O
reiki		B-OTHER	O
slogan		B-ENG	O
dark		B-ENG	O
kitchen		I-ENG	O
kitchen		I-ENG	O
food		I-ENG	O
pokes		B-OTHER	B-ENG
galets		B-OTHER	B-ENG
carn		B-OTHER	O
d'olla		I-OTHER	O
maps		O	B-ENG
street		O	B-ENG
deepfake		B-ENG	O
deepfake		B-ENG	O
deepfake		B-ENG	O
los		O	B-ENG
route		B-ENG	O
map		I-ENG	O
digital		B-ENG	O
livsmedelsverket		O	B-ENG
waterproof		B-ENG	O
bacalhau		B-OTHER	O
mainstream		B-ENG	O
manager		B-ENG	O
rock		O	B-ENG
sounds		O	I-ENG
something		O	B-ENG
remix		B-ENG	O
caucus		B-ENG	O
defund		O	B-ENG
defund		O	B-ENG
ultra		B-ENG	O
local		I-ENG	O
dimming		I-ENG	O
tv		I-ENG	O
of		O	I-ENG
shooter		B-ENG	O
spas		B-ENG	O
trusts		O	B-ENG
macguffin		B-ENG	O
chalets		O	B-ENG
rancis		B-OTHER	B-ENG
spillover		B-ENG	O
marcescens		O	I-ENG
autonomous		B-ENG	O
sensory		I-ENG	O
meridian		I-ENG	O
response		I-ENG	O
game		B-ENG	O
over		I-ENG	O
chalk		B-ENG	O
eggshell		B-ENG	O
staff		B-ENG	O
paparazzi		B-OTHER	B-ENG
webcam		B-ENG	O
cócktail		O	B-ENG
it		O	I-ENG
funk		B-ENG	O
sexy		B-ENG	O
size		I-ENG	O
newsletter		B-ENG	O
-		I-ENG	O
shore		I-ENG	O
of		O	I-ENG
typical		B-ENG	O
spanish		I-ENG	O
approval		B-ENG	O
hash		B-ENG	O
fine		O	I-ENG
reviews		I-ENG	O
video		B-ENG	O
meme		B-ENG	O
stocks		I-ENG	B-ENG
centennial		B-ENG	O
noise		B-ENG	O
mangaka		B-OTHER	O
age		I-ENG	O
capots		B-OTHER	B-ENG
car		I-ENG	O
reiki		B-OTHER	O
reiki		B-OTHER	O
millennial		B-ENG	O
funds		I-ENG	O
broker		B-ENG	O
think		O	B-ENG
of		O	I-ENG
carpenters		O	B-ENG
skinhead		B-ENG	O
yankee		B-ENG	O
black		O	B-ENG
route		B-ENG	O
to		I-ENG	O
market		I-ENG	O
ratatouille		B-OTHER	O
tumbet		B-OTHER	O
handicap		B-ENG	O
newsletter		B-ENG	O
newsletter		B-ENG	O
wannabes		B-ENG	O
close		B-ENG	O
close		B-ENG	O
talker		I-ENG	O
onsen		B-OTHER	O
whiskies		O	B-ENG
youtubers		B-ENG	O
beat		O	B-ENG
plaquette		B-OTHER	O
